tick,tick_dt,input_force,output_ang_vel,output_angle,output_position,output_speed
177.0,0.009696751832962036,9.844073475100162e-06,6.062061541992245e-07,1.082248044770743e-07,3.01438808594909e-07,3.29338000026281e-07
178.0,0.00985952652990818,-1.1544646374175162e-06,1.7921619210906374e-08,1.1420171013699516e-07,3.04685925343475e-07,3.098805519890852e-07
179.0,0.009682104922831059,1.466240001195914e-05,-1.7379258088070612e-06,1.1437522913458218e-07,3.076862213613781e-07,-6.680834556396824e-07
180.0,0.011000734753906727,3.0242440404365868e-05,5.039565132955271e-07,9.525676828992688e-08,3.0033681247241254e-07,2.0762186823827214e-07
181.0,0.009270462207496166,-1.1295520152214486e-06,7.656235540315094e-07,9.992867810065461e-08,3.022615631553652e-07,1.2681568924175408e-07
182.0,0.010430686175823212,-1.2082429406472516e-05,-1.5777592098437277e-06,1.0791465712157571e-07,3.0358433781201664e-07,-1.2267188249696304e-07
183.0,0.009732474572956562,4.5898736516839975e-05,1.940851002328217e-06,9.25591557295236e-08,3.0239043683479823e-07,7.551185354672414e-07
184.0,0.010017174296081066,-2.2480287914811514e-05,1.5368283970516807e-07,1.1200099850256899e-07,3.0995459081877505e-07,3.093563416580879e-07
185.0,0.009829195216298103,1.1273249311537945e-05,-1.2588730252300777e-06,1.1351157713542613e-07,3.1299531469233223e-07,-3.476213401141716e-07
186.0,0.010081303305923939,2.8384137370013407e-05,1.6354946114084072e-06,1.0082049634443568e-07,3.0949083852702953e-07,7.323766171064709e-07
187.0,0.009774565696716309,-1.5029170261675799e-05,-7.642521909546043e-07,1.1680674587027267e-07,3.166495018856756e-07,-2.2032276122666987e-07
188.0,0.00990660022944212,1.8486433859400665e-05,1.0843090290485106e-06,1.0923560494001014e-07,3.1446685236875616e-07,3.429423905460258e-07
